Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-04-11,16.311754,7.441448,17.669998,141.37364196777344,Autumn,0.0,59.401577,38487.39
2024-04-12,15.363833,6.6223807,17.099998,86.55787658691406,Autumn,1.2,76.61365,38204.812
2024-04-13,15.818001,4.8553762,11.849998,79.73491668701172,Autumn,0.0,69.4063,37945.117
2024-04-14,16.038832,6.387755,14.774999,102.35951232910156,Autumn,0.0,64.30851,38150.47
2024-04-15,16.23675,7.9675446,17.759996,86.85810089111328,Autumn,0.0,66.64262,22158.275
2024-04-16,17.190916,11.2042,24.525002,65.69546508789062,Autumn,0.2,67.77301,37551.855
2024-04-17,17.768,9.795421,22.199999,56.561668395996094,Autumn,0.0,61.82314,34720.062
2024-04-18,17.270082,5.8632736,13.979999,179.42709350585938,Autumn,0.0,66.579636,37303.027
2024-04-19,18.468,8.886593,19.605001,157.1277313232422,Autumn,0.0,58.249027,37722.605
2024-04-20,18.640917,6.671402,15.659999,188.86659240722656,Autumn,0.0,58.213627,37666.11
2024-04-21,19.46175,5.902355,14.535,145.55508422851562,Autumn,0.0,53.709698,37610.336
2024-04-22,19.990917,8.13775,18.24,216.46932983398438,Autumn,0.0,50.664963,37555.152
2024-04-23,20.707582,6.7494426,16.005,143.60134887695312,Autumn,0.0,50.127186,37450.203
2024-04-24,20.543001,8.293075,19.095,164.35755920410156,Autumn,0.0,50.192562,37354.13
2024-04-20,18.640917,6.671402,15.659999,188.86659240722656,Autumn,0.0,58.213627,37666.11
2024-04-21,19.46175,5.902355,14.535,145.55508422851562,Autumn,0.0,53.709698,37610.336
2024-04-22,19.990917,8.13775,18.24,216.46932983398438,Autumn,0.0,50.664963,37555.152
2024-04-23,20.707582,6.7494426,16.005,143.60134887695312,Autumn,0.0,50.127186,37450.203
2024-04-24,20.543001,8.293075,19.095,164.35755920410156,Autumn,0.0,50.192562,37354.13
2024-04-25,21.095083,7.762936,18.015,143.97251892089844,Autumn,0.0,45.33665,36626.184
2024-04-26,20.790916,8.270016,19.079998,101.02543640136719,Autumn,0.0,53.59796,36035.07
2024-04-27,19.307585,10.905557,25.260002,97.47147369384766,Autumn,0.1,57.962627,36668.023
2024-04-28,16.632582,7.2055163,17.565,113.86263275146484,Autumn,0.0,60.18233,36310.266
2024-04-29,15.972165,5.832197,14.384997,199.9832000732422,Autumn,0.0,52.349125,36814.66
2024-04-30,17.772165,7.66542,17.385,175.81512451171875,Autumn,0.0,50.227886,36717.32
2024-05-01,20.032583,8.953834,20.039997,147.1603546142578,Autumn,0.0,43.646774,36623.906
2024-05-02,20.995083,10.85827,23.204994,149.22357177734375,Autumn,0.0,39.644344,36529.68
2024-05-03,20.057583,7.797182,17.925,96.19380187988281,Autumn,0.0,43.448246,36443.707
2024-04-27,19.307585,10.905557,25.260002,97.47147369384766,Autumn,0.1,57.962627,36668.023
